# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-07-09 17:37:40 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01059000 Androscoggin River near Auburn, Maine
# -----------------------------------------------------------------------------------
#
# Data provided for site 01059000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01059000	2000-01-01	3800	A
USGS	01059000	2000-01-02	3690	A
USGS	01059000	2000-01-03	3740	A
USGS	01059000	2000-01-04	5310	A
USGS	01059000	2000-01-05	5150	A
USGS	01059000	2000-01-06	5550	A
USGS	01059000	2000-01-07	5590	A
USGS	01059000	2000-01-08	4920	A
USGS	01059000	2000-01-09	4790	A
USGS	01059000	2000-01-10	5630	A
USGS	01059000	2000-01-11	6730	A
USGS	01059000	2000-01-12	6000	A
USGS	01059000	2000-01-13	6210	A
USGS	01059000	2000-01-14	5430	A
USGS	01059000	2000-01-15	5460	A
USGS	01059000	2000-01-16	3880	A
USGS	01059000	2000-01-17	4340	A
USGS	01059000	2000-01-18	4090	A
USGS	01059000	2000-01-19	3700	A
USGS	01059000	2000-01-20	3880	A
USGS	01059000	2000-01-21	4390	A
USGS	01059000	2000-01-22	4840	A
USGS	01059000	2000-01-23	4810	A
USGS	01059000	2000-01-24	4270	A
USGS	01059000	2000-01-25	3900	A
USGS	01059000	2000-01-26	3900	A
USGS	01059000	2000-01-27	4190	A
USGS	01059000	2000-01-28	4240	A
USGS	01059000	2000-01-29	4240	A
USGS	01059000	2000-01-30	4170	A
USGS	01059000	2000-01-31	3940	A
USGS	01059000	2000-02-01	4170	A
USGS	01059000	2000-02-02	4240	A
USGS	01059000	2000-02-03	5200	A
USGS	01059000	2000-02-04	5130	A
USGS	01059000	2000-02-05	3610	A
USGS	01059000	2000-02-06	3630	A
USGS	01059000	2000-02-07	5280	A
USGS	01059000	2000-02-08	4420	A
USGS	01059000	2000-02-09	4360	A
USGS	01059000	2000-02-10	4390	A
USGS	01059000	2000-02-11	4360	A
USGS	01059000	2000-02-12	3180	A
USGS	01059000	2000-02-13	3210	A
USGS	01059000	2000-02-14	4930	A
USGS	01059000	2000-02-15	6020	A
USGS	01059000	2000-02-16	3870	A
USGS	01059000	2000-02-17	3990	A
USGS	01059000	2000-02-18	3040	A
USGS	01059000	2000-02-19	2630	A
USGS	01059000	2000-02-20	2640	A
USGS	01059000	2000-02-21	4180	A
USGS	01059000	2000-02-22	4190	A
USGS	01059000	2000-02-23	4770	A
USGS	01059000	2000-02-24	4780	A
USGS	01059000	2000-02-25	4890	A
USGS	01059000	2000-02-26	3470	A
USGS	01059000	2000-02-27	3770	A
USGS	01059000	2000-02-28	5780	A
USGS	01059000	2000-02-29	6820	A
USGS	01059000	2000-03-01	8180	A
USGS	01059000	2000-03-02	9110	A
USGS	01059000	2000-03-03	8910	A
USGS	01059000	2000-03-04	8780	A
USGS	01059000	2000-03-05	8590	A
USGS	01059000	2000-03-06	8340	A
USGS	01059000	2000-03-07	6940	A
USGS	01059000	2000-03-08	6030	A
USGS	01059000	2000-03-09	6010	A
USGS	01059000	2000-03-10	6550	A
USGS	01059000	2000-03-11	8630	A
USGS	01059000	2000-03-12	8870	A
USGS	01059000	2000-03-13	8870	A
USGS	01059000	2000-03-14	8750	A
USGS	01059000	2000-03-15	8600	A
USGS	01059000	2000-03-16	8540	A
USGS	01059000	2000-03-17	8600	A
USGS	01059000	2000-03-18	8520	A
USGS	01059000	2000-03-19	8380	A
USGS	01059000	2000-03-20	7380	A
USGS	01059000	2000-03-21	6840	A
USGS	01059000	2000-03-22	6870	A
USGS	01059000	2000-03-23	5890	A
USGS	01059000	2000-03-24	7230	A
USGS	01059000	2000-03-25	10500	A
USGS	01059000	2000-03-26	12500	A
USGS	01059000	2000-03-27	13400	A
USGS	01059000	2000-03-28	17300	A
USGS	01059000	2000-03-29	38900	A
USGS	01059000	2000-03-30	36200	A
USGS	01059000	2000-03-31	24200	A
USGS	01059000	2000-04-01	18200	A
USGS	01059000	2000-04-02	15800	A
USGS	01059000	2000-04-03	17000	A
USGS	01059000	2000-04-04	22700	A
USGS	01059000	2000-04-05	31500	A
USGS	01059000	2000-04-06	29200	A
USGS	01059000	2000-04-07	22900	A
USGS	01059000	2000-04-08	18700	A
USGS	01059000	2000-04-09	21200	A
USGS	01059000	2000-04-10	38600	A
USGS	01059000	2000-04-11	35500	A
USGS	01059000	2000-04-12	24900	A
USGS	01059000	2000-04-13	19700	A
USGS	01059000	2000-04-14	16300	A
USGS	01059000	2000-04-15	13800	A
USGS	01059000	2000-04-16	13100	A
USGS	01059000	2000-04-17	13600	A
USGS	01059000	2000-04-18	13000	A
USGS	01059000	2000-04-19	11700	A
USGS	01059000	2000-04-20	11400	A
USGS	01059000	2000-04-21	10900	A
USGS	01059000	2000-04-22	10100	A
USGS	01059000	2000-04-23	13100	A
USGS	01059000	2000-04-24	24900	A
USGS	01059000	2000-04-25	27400	A
USGS	01059000	2000-04-26	21700	A
USGS	01059000	2000-04-27	17100	A
USGS	01059000	2000-04-28	14900	A
USGS	01059000	2000-04-29	12800	A
USGS	01059000	2000-04-30	12400	A
USGS	01059000	2000-05-01	11800	A
USGS	01059000	2000-05-02	11500	A
USGS	01059000	2000-05-03	11300	A
USGS	01059000	2000-05-04	9230	A
USGS	01059000	2000-05-05	8740	A
USGS	01059000	2000-05-06	7360	A
USGS	01059000	2000-05-07	7990	A
USGS	01059000	2000-05-08	11800	A
USGS	01059000	2000-05-09	13900	A
USGS	01059000	2000-05-10	25300	A
USGS	01059000	2000-05-11	32000	A
USGS	01059000	2000-05-12	31400	A
USGS	01059000	2000-05-13	29400	A
USGS	01059000	2000-05-14	29400	A
